RC_Chapter,RC_Region,RC_Division,Year,Total_Counties,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct
ARC of Delmarva,National Capital and Greater Chesapeake Region,Central Atlantic Division,2010,14,514119,57928,146311,309880,11.27,28.46,39.73
ARC of Delmarva,National Capital and Greater Chesapeake Region,Central Atlantic Division,2012,14,527052,62113,148369,316570,11.78,28.15,39.94
ARC of Delmarva,National Capital and Greater Chesapeake Region,Central Atlantic Division,2014,14,538355,63607,156365,318383,11.82,29.04,40.86
ARC of Delmarva,National Capital and Greater Chesapeake Region,Central Atlantic Division,2016,14,540552,62786,170034,307732,11.62,31.46,43.07
ARC of Delmarva,National Capital and Greater Chesapeake Region,Central Atlantic Division,2018,14,559322,68276,162975,328071,12.21,29.14,41.34
ARC of Delmarva,National Capital and Greater Chesapeake Region,Central Atlantic Division,2019,14,570758,64603,162239,343916,11.32,28.43,39.74
ARC of Delmarva,National Capital and Greater Chesapeake Region,Central Atlantic Division,2021,14,595905,69946,173930,352029,11.74,29.19,40.93
ARC of Delmarva,National Capital and Greater Chesapeake Region,Central Atlantic Division,2022,14,604285,59669,175767,368849,9.87,29.09,38.96
ARC of Delmarva,National Capital and Greater Chesapeake Region,Central Atlantic Division,2023,14,614568,67551,182823,364194,10.99,29.75,40.74
ARC of East Central Bay Michigan,Michigan Region,North Central Division,2010,10,423117,68826,103401,250890,16.27,24.44,40.7
ARC of East Central Bay Michigan,Michigan Region,North Central Division,2012,10,422531,69100,106837,246594,16.35,25.29,41.64
ARC of East Central Bay Michigan,Michigan Region,North Central Division,2014,10,421472,69507,106279,245686,16.49,25.22,41.71
ARC of East Central Bay Michigan,Michigan Region,North Central Division,2016,10,426677,70497,93318,262862,16.52,21.87,38.39
ARC of East Central Bay Michigan,Michigan Region,North Central Division,2018,10,430868,66912,106714,257242,15.53,24.77,40.3
ARC of East Central Bay Michigan,Michigan Region,North Central Division,2019,10,432177,63583,102240,266354,14.71,23.66,38.37
ARC of East Central Bay Michigan,Michigan Region,North Central Division,2021,10,432322,66163,111394,254765,15.3,25.77,41.07
ARC of East Central Bay Michigan,Michigan Region,North Central Division,2022,10,432118,61893,122629,247596,14.32,28.38,42.7
ARC of East Central Bay Michigan,Michigan Region,North Central Division,2023,10,426156,64316,119638,242202,15.09,28.07,43.17
ARC of East Central Georgia,Georgia Region,Southeast and Caribbean Division,2010,23,229132,43490,64574,121068,18.98,28.18,47.16
ARC of East Central Georgia,Georgia Region,Southeast and Caribbean Division,2012,23,229412,47312,70235,111865,20.62,30.62,51.24
ARC of East Central Georgia,Georgia Region,Southeast and Caribbean Division,2014,23,229009,47184,74968,106857,20.6,32.74,53.34
ARC of East Central Georgia,Georgia Region,Southeast and Caribbean Division,2016,23,235765,46905,72443,116417,19.89,30.73,50.62
ARC of East Central Georgia,Georgia Region,Southeast and Caribbean Division,2018,23,230679,42099,79702,108878,18.25,34.55,52.8
ARC of East Central Georgia,Georgia Region,Southeast and Caribbean Division,2019,23,229502,38988,80868,109646,16.99,35.24,52.22
ARC of East Central Georgia,Georgia Region,Southeast and Caribbean Division,2021,23,234145,38654,77239,118252,16.51,32.99,49.5
ARC of East Central Georgia,Georgia Region,Southeast and Caribbean Division,2022,23,239542,38082,86103,115357,15.9,35.94,51.84
ARC of East Central Georgia,Georgia Region,Southeast and Caribbean Division,2023,23,249762,44249,77944,127569,17.72,31.21,48.92
ARC of East Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2010,13,302347,46716,70360,185271,15.45,23.27,38.72
ARC of East Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2012,13,298837,49250,73514,176073,16.48,24.6,41.08
ARC of East Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2014,13,300784,49796,80494,170494,16.56,26.76,43.32
ARC of East Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2016,13,300232,45812,77837,176583,15.26,25.93,41.18
ARC of East Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2018,13,300516,46990,76710,176816,15.64,25.53,41.16
ARC of East Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2019,13,306753,43295,74429,189029,14.11,24.26,38.38
ARC of East Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2021,13,306191,43993,88615,173583,14.37,28.94,43.31
ARC of East Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2022,13,312720,46228,86384,180108,14.78,27.62,42.41
ARC of East Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2023,13,309316,44341,89334,175641,14.34,28.88,43.22
ARC of East Tennessee,Tennessee Region,Southeast and Caribbean Division,2010,11,399136,58160,126658,214318,14.57,31.73,46.3
ARC of East Tennessee,Tennessee Region,Southeast and Caribbean Division,2012,11,403021,64071,122309,216641,15.9,30.35,46.25
ARC of East Tennessee,Tennessee Region,Southeast and Caribbean Division,2014,11,395374,66839,134686,193849,16.91,34.07,50.97
ARC of East Tennessee,Tennessee Region,Southeast and Caribbean Division,2016,11,405841,61499,127437,216905,15.15,31.4,46.55
ARC of East Tennessee,Tennessee Region,Southeast and Caribbean Division,2018,11,409548,57423,126815,225310,14.02,30.96,44.99
ARC of East Tennessee,Tennessee Region,Southeast and Caribbean Division,2019,11,418141,60053,122265,235823,14.36,29.24,43.6
ARC of East Tennessee,Tennessee Region,Southeast and Caribbean Division,2021,11,431692,57951,116581,257160,13.42,27.01,40.43
ARC of East Tennessee,Tennessee Region,Southeast and Caribbean Division,2022,11,443319,58951,124132,260236,13.3,28.0,41.3
ARC of East Tennessee,Tennessee Region,Southeast and Caribbean Division,2023,11,446483,62684,131584,252215,14.04,29.47,43.51
ARC of Eastern Iowa,Nebraska Iowa Region,North Central Division,2010,31,457634,57597,87360,312677,12.59,19.09,31.68
ARC of Eastern Iowa,Nebraska Iowa Region,North Central Division,2012,31,459495,57417,93068,309010,12.5,20.25,32.75
ARC of Eastern Iowa,Nebraska Iowa Region,North Central Division,2014,31,466109,58289,94033,313787,12.51,20.17,32.68
ARC of Eastern Iowa,Nebraska Iowa Region,North Central Division,2016,31,466147,61065,94259,310823,13.1,20.22,33.32
ARC of Eastern Iowa,Nebraska Iowa Region,North Central Division,2018,31,473949,59369,104582,309998,12.53,22.07,34.59
ARC of Eastern Iowa,Nebraska Iowa Region,North Central Division,2019,31,474630,59191,102721,312718,12.47,21.64,34.11
ARC of Eastern Iowa,Nebraska Iowa Region,North Central Division,2021,31,476720,55076,115694,305950,11.55,24.27,35.82
ARC of Eastern Iowa,Nebraska Iowa Region,North Central Division,2022,31,481516,57501,121851,302164,11.94,25.31,37.25
ARC of Eastern Iowa,Nebraska Iowa Region,North Central Division,2023,31,486257,59973,125200,301084,12.33,25.75,38.08
ARC of Eastern South Carolina,South Carolina Region,Southeast and Caribbean Division,2010,7,241336,47264,63362,130710,19.58,26.25,45.84
ARC of Eastern South Carolina,South Carolina Region,Southeast and Caribbean Division,2012,7,247023,49446,73410,124167,20.02,29.72,49.73
ARC of Eastern South Carolina,South Carolina Region,Southeast and Caribbean Division,2014,7,253939,50212,73514,130213,19.77,28.95,48.72
ARC of Eastern South Carolina,South Carolina Region,Southeast and Caribbean Division,2016,7,252810,44832,73986,133992,17.73,29.27,47.0
ARC of Eastern South Carolina,South Carolina Region,Southeast and Caribbean Division,2018,7,258357,45907,79510,132940,17.77,30.78,48.54
ARC of Eastern South Carolina,South Carolina Region,Southeast and Caribbean Division,2019,7,269933,43363,82582,143988,16.06,30.59,46.66
ARC of Eastern South Carolina,South Carolina Region,Southeast and Caribbean Division,2021,7,269732,44626,82862,142244,16.54,30.72,47.26
ARC of Eastern South Carolina,South Carolina Region,Southeast and Caribbean Division,2022,7,288611,46649,97170,144792,16.16,33.67,49.83
ARC of Eastern South Carolina,South Carolina Region,Southeast and Caribbean Division,2023,7,296290,48117,90871,157302,16.24,30.67,46.91
ARC of Greater Akron and the Mahoning Valley,Northern Ohio Region,Central Atlantic Division,2010,6,572405,81203,138507,352695,14.19,24.2,38.38
ARC of Greater Akron and the Mahoning Valley,Northern Ohio Region,Central Atlantic Division,2012,6,572660,85287,125785,361588,14.89,21.97,36.86
ARC of Greater Akron and the Mahoning Valley,Northern Ohio Region,Central Atlantic Division,2014,6,575275,81459,139199,354617,14.16,24.2,38.36
ARC of Greater Akron and the Mahoning Valley,Northern Ohio Region,Central Atlantic Division,2016,6,576748,82633,137039,357076,14.33,23.76,38.09
ARC of Greater Akron and the Mahoning Valley,Northern Ohio Region,Central Atlantic Division,2018,6,580205,75311,134470,370424,12.98,23.18,36.16
ARC of Greater Akron and the Mahoning Valley,Northern Ohio Region,Central Atlantic Division,2019,6,580873,79335,139514,362024,13.66,24.02,37.68
ARC of Greater Akron and the Mahoning Valley,Northern Ohio Region,Central Atlantic Division,2021,6,589271,83771,149690,355810,14.22,25.4,39.62
ARC of Greater Akron and the Mahoning Valley,Northern Ohio Region,Central Atlantic Division,2022,6,592209,81519,153461,357229,13.77,25.91,39.68
ARC of Greater Akron and the Mahoning Valley,Northern Ohio Region,Central Atlantic Division,2023,6,601110,85568,159647,355895,14.23,26.56,40.79
ARC of Greater Atlanta,Georgia Region,Southeast and Caribbean Division,2010,12,1562525,201801,471563,889161,12.92,30.18,43.09
ARC of Greater Atlanta,Georgia Region,Southeast and Caribbean Division,2012,12,1596217,231742,523633,840842,14.52,32.8,47.32
ARC of Greater Atlanta,Georgia Region,Southeast and Caribbean Division,2014,12,1640198,219122,512351,908725,13.36,31.24,44.6
ARC of Greater Atlanta,Georgia Region,Southeast and Caribbean Division,2016,12,1707203,204685,498935,1003583,11.99,29.23,41.21
ARC of Greater Atlanta,Georgia Region,Southeast and Caribbean Division,2018,12,1755353,182411,618453,954489,10.39,35.23,45.62
ARC of Greater Atlanta,Georgia Region,Southeast and Caribbean Division,2019,12,1798428,181636,679930,936862,10.1,37.81,47.91
ARC of Greater Atlanta,Georgia Region,Southeast and Caribbean Division,2021,12,1868267,203770,666161,998336,10.91,35.66,46.56
ARC of Greater Atlanta,Georgia Region,Southeast and Caribbean Division,2022,12,1892091,193159,682471,1016461,10.21,36.07,46.28
ARC of Greater Atlanta,Georgia Region,Southeast and Caribbean Division,2023,12,1911511,208281,613365,1089865,10.9,32.09,42.98
ARC of Greater Chicago,Illinois Region,North Central Division,2010,4,2602547,335753,554872,1711922,12.9,21.32,34.22
ARC of Greater Chicago,Illinois Region,North Central Division,2012,4,2620739,369525,512081,1739133,14.1,19.54,33.64
ARC of Greater Chicago,Illinois Region,North Central Division,2014,4,2626693,356409,546358,1723926,13.57,20.8,34.37
ARC of Greater Chicago,Illinois Region,North Central Division,2016,4,2660400,342686,647854,1669860,12.88,24.35,37.23
ARC of Greater Chicago,Illinois Region,North Central Division,2018,4,2688674,314581,600256,1773837,11.7,22.33,34.03
ARC of Greater Chicago,Illinois Region,North Central Division,2019,4,2688138,308093,582737,1797308,11.46,21.68,33.14
ARC of Greater Chicago,Illinois Region,North Central Division,2021,4,2794294,348250,616722,1829322,12.46,22.07,34.53
ARC of Greater Chicago,Illinois Region,North Central Division,2022,4,2840667,348443,639643,1852581,12.27,22.52,34.78
ARC of Greater Chicago,Illinois Region,North Central Division,2023,4,2850095,344617,677677,1827801,12.09,23.78,35.87
ARC of Greater Cincinnati Tri-state,Central and Southern Ohio Region,Central Atlantic Division,2010,10,687614,92184,171185,424245,13.41,24.9,38.3
ARC of Greater Cincinnati Tri-state,Central and Southern Ohio Region,Central Atlantic Division,2012,10,695772,102207,183239,410326,14.69,26.34,41.03
ARC of Greater Cincinnati Tri-state,Central and Southern Ohio Region,Central Atlantic Division,2014,10,705710,100748,173739,431223,14.28,24.62,38.9
ARC of Greater Cincinnati Tri-state,Central and Southern Ohio Region,Central Atlantic Division,2016,10,715260,93922,172531,448807,13.13,24.12,37.25
ARC of Greater Cincinnati Tri-state,Central and Southern Ohio Region,Central Atlantic Division,2018,10,731508,93307,188601,449600,12.76,25.78,38.54
ARC of Greater Cincinnati Tri-state,Central and Southern Ohio Region,Central Atlantic Division,2019,10,735104,89091,175310,470703,12.12,23.85,35.97
ARC of Greater Cincinnati Tri-state,Central and Southern Ohio Region,Central Atlantic Division,2021,10,755598,96154,184337,475107,12.73,24.4,37.12
ARC of Greater Cincinnati Tri-state,Central and Southern Ohio Region,Central Atlantic Division,2022,10,765198,101291,191098,472809,13.24,24.97,38.21
ARC of Greater Cincinnati Tri-state,Central and Southern Ohio Region,Central Atlantic Division,2023,10,773282,98362,182428,492492,12.72,23.59,36.31
ARC of Greater Indianapolis,Indiana Region,North Central Division,2010,6,606406,82297,152449,371660,13.57,25.14,38.71
ARC of Greater Indianapolis,Indiana Region,North Central Division,2012,6,617182,86637,142472,388073,14.04,23.08,37.12
ARC of Greater Indianapolis,Indiana Region,North Central Division,2014,6,629235,88781,151962,388492,14.11,24.15,38.26
ARC of Greater Indianapolis,Indiana Region,North Central Division,2016,6,647906,87376,153908,406622,13.49,23.75,37.24
ARC of Greater Indianapolis,Indiana Region,North Central Division,2018,6,660164,77180,150404,432580,11.69,22.78,34.47
ARC of Greater Indianapolis,Indiana Region,North Central Division,2019,6,669183,75811,180010,413362,11.33,26.9,38.23
ARC of Greater Indianapolis,Indiana Region,North Central Division,2021,6,700763,71775,181383,447605,10.24,25.88,36.13
ARC of Greater Indianapolis,Indiana Region,North Central Division,2022,6,718321,83817,181087,453417,11.67,25.21,36.88
ARC of Greater Indianapolis,Indiana Region,North Central Division,2023,6,733021,82558,166544,483919,11.26,22.72,33.98
ARC of Greater Kansas Area,Kansas and Oklahoma Region,Southwest and Rocky Mountain Division,2010,78,424401,60967,86326,277108,14.37,20.34,34.71
ARC of Greater Kansas Area,Kansas and Oklahoma Region,Southwest and Rocky Mountain Division,2012,78,426013,57958,99735,268320,13.6,23.41,37.02
ARC of Greater Kansas Area,Kansas and Oklahoma Region,Southwest and Rocky Mountain Division,2014,78,426959,58331,106072,262556,13.66,24.84,38.51
ARC of Greater Kansas Area,Kansas and Oklahoma Region,Southwest and Rocky Mountain Division,2016,78,423283,53955,104970,264358,12.75,24.8,37.55
ARC of Greater Kansas Area,Kansas and Oklahoma Region,Southwest and Rocky Mountain Division,2018,78,429135,59114,105325,264696,13.78,24.54,38.32
ARC of Greater Kansas Area,Kansas and Oklahoma Region,Southwest and Rocky Mountain Division,2019,78,427358,52475,111157,263726,12.28,26.01,38.29
ARC of Greater Kansas Area,Kansas and Oklahoma Region,Southwest and Rocky Mountain Division,2021,78,426941,57159,114229,255553,13.39,26.76,40.14
ARC of Greater Kansas Area,Kansas and Oklahoma Region,Southwest and Rocky Mountain Division,2022,78,430936,61038,116185,253713,14.16,26.96,41.13
ARC of Greater Kansas Area,Kansas and Oklahoma Region,Southwest and Rocky Mountain Division,2023,78,431826,57238,113658,260930,13.25,26.32,39.58
ARC of Greater Kansas City and Northwest Missouri,Missouri and Arkansas Region,Southwest and Rocky Mountain Division,2010,6,312244,29368,77981,204895,9.41,24.97,34.38
ARC of Greater Kansas City and Northwest Missouri,Missouri and Arkansas Region,Southwest and Rocky Mountain Division,2012,6,325739,31764,80107,213868,9.75,24.59,34.34
